School_code#School_name#development_region#Eco_Belt#Zone#District#VDC#Address#Ward_No#Locality#ECD#PRIMARY#LSEC#SEC#HSEC
10100003#Singha Bahini Pra V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Nibukham#1#Urban##Community_aided###
10100004#Jal Kanya Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Mehele#4#Urban#Community_aided#Community_aided#Community_Teacher_aided##
10100005#Kiranteshwor Pra V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Khuwa#9#Urban#Community_aided#Community_aided###
10100006#Saraswati Uchha Ma V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Hangpang#7#Urban#Community_aided#Community_aided#Community_aided#Community_aided#Community_Teacher_aided
10100007#Ganesh Pra V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Khuwa#5#Urban#Community_aided#Community_aided###
10100008#Kalika Pra V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Chuwa#3#Urban#Community_Managed#Community_Managed###
10100010#Bismure Pra Vi#Eastern#Mountain#Mechi#Taplejung#Hangpang#Hampang#9#Urban#Community_Unaided#Community_Unaided###
10100012#Sirijangha Pra Vi#Eastern#Mountain#Mechi#Taplejung#Hangpang#Pansubba#6#Urban#Community_Unaided#Community_Unaided###
10110001#Sidingma Pra V#Eastern#Mountain#Mechi#Taplejung#Kalikhola#Tembok#4#Urban##Community_aided###
10110002#Jalpa Pra V#Eastern#Mountain#Mechi#Taplejung#Kalikhola#Lokumba#1#Urban##Community_Teacher_aided###
10110003#Kalikhola Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Kalikhola#Harise#7#Urban#Community_Managed#Community_Managed#Community_Unaided##
10120001#Prithvi H S S#Eastern#Mountain#Mechi#Taplejung#Khamlung#Khamlung#3#Urban#Community_aided#Community_Managed#Community_aided#Community_aided#Community_Unaided
10120002#Simle Pra V#Eastern#Mountain#Mechi#Taplejung#Khamlung#Khamlung#9#Urban#Community_Managed#Community_Managed###
10120003#Bardumba Pra V#Eastern#Mountain#Mechi#Taplejung#Khamlung#Bardumba#6#Urban##Community_Teacher_aided###
10120005#Bauddhik Samaj Bbk#Eastern#Mountain#Mechi#Taplejung#Khamlung#Khamlung#2#Urban#Community_aided####
