School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100009,Bagmati Ebs,Eastern,Hill,Mechi,Ilam,Ektappa,Bhangyang,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30110005,Bahuban Ma V,Eastern,Hill,Mechi,Ilam,Erautar,Bhayban,8,Urban,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30120008,Mahendrodaya Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Gajurmukhi,Dhungedanda,7,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30130001,Purnasmarak Uchha Uchha Ma Vchool,Eastern,Hill,Mechi,Ilam,Godak,Tersegaou,6,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30140001,Singha Devi Ma V,Eastern,Hill,Mechi,Ilam,Gorkhe,Manglebvare,6,Urban,,Community_Managed,Community_Teacher_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30140003,Himalaya Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Gorkhe,Manedanda,4,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30150001,Adarsha Uchha Ma V,Eastern,Hill,Mechi,Ilam,N.p.,Suntalabari,2,Urban,,,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40020004,Arjundhara Sanskrit Adarsha Ma V,Eastern,Terai,Mechi,Jhapa,Arjundhara,Dhara,4,Urban,,Community_Unaided,Community_aided,Community_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40020008,Surya Jyoti Ebs,Eastern,Terai,Mechi,Jhapa,Arjundhara,Mildanda,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030012,Sunshine Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bazar,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
